StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
MYSWGUAQZAJSOK-UHFFFAOYSA-N,ciprofloxacin; ciproflaxin,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,Solubility: 0.001265 molpercent,-3.76721595,A,24.99,203.929,331.347,266,-1148.425899,-1148.450707,-0.02480819,-1148.138971,-1148.163811,-0.02484,7.1947,11.4748,-0.2208,0.19293,-0.06508,0.19283,547.3823242,-2.05109,-0.99934,-0.72924,0.8068,-4.00339,42,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1
NFBLQKVUYFRWJV-UHFFFAOYSA-N,methyldiglycolic acid diamide; Methyldiglykolsaeure-diamid; 2-Carbamoylmethoxy-propionsaeure-amid,CC(OCC(N)=O)C(N)=O,Solubility :1.3 Gew.- percent.,-1.155973924,C,20,97.477,146.146,126,-531.7760502,-531.7956398,-0.019589641,-531.652051,-531.671495,-0.019444,2.6899,3.8854,-0.26546,0.24067,-0.01734,0.23749,336.6295776,-2.0355,0.43705,-0.84723,0.6654,-3.72847,20,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NGMMGKYJUWYIIG-UHFFFAOYSA-N,3-hydroxybenzamide; m-hydroxybenzamide; 3-hydroxy-benzoic acid amide; 3-Hydroxy-benzoesaeure-amid; 3-Hydroxy-benzamid; 3-Hydroxybenzamide,NC(=O)C1=CC(O)=CC=C1,39.77,-0.537602221,D,20,101.114,137.138,167.25,-476.1929916,-476.2075993,-0.014607711,-476.09528,-476.110102,-0.014822,2.8845,4.1286,-0.24361,0.20365,-0.05436,0.21564,309.4524841,-1.4114,-0.18085,-0.85133,0.66834,-2.26273,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
NHIFBKRZNRSFHV-UHFFFAOYSA-N,"1-acetoxy-2,3-bis-(4-nitro-benzoyloxy)-propane; Glycerin-alpha-acetat-alpha'.beta-bis-(4-nitro-benzoat); 1-Acetoxy-2,3-bis-(4-nitro-benzoyloxy)-propan",CC(=O)OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=C(C=C1)N(=O)=O,100 g solvent dissolves. 2.94 g Substance.,-1.272611445,C,21,275.399,432.343,129.5,-1595.309599,-1595.33559,-0.0259901,-1595.033846,-1595.060806,-0.02696,4.0372,5.3378,-0.30228,0.12927,-0.12874,0.27431,679.2723999,-5.13277,-0.25777,-0.77974,0.82717,-4.13023,47,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
NIHNNTQXNPWCJQ-UHFFFAOYSA-N,9H-fluorene; fluorene; FLUORENE,C1C2=CC=CC=C2C2=C1C=CC=C2,Solubility: 6.872 molpercent,-0.032223325,D,24.84,168.527,166.222,114.5,-501.4401191,-501.4447657,-0.004646555,-501.286014,-501.290794,-0.00478,0.5643,0.842,-0.22174,0.21753,-0.04048,0.19377,366.9493103,0,-2.55436,-0.48852,0.2768,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
NLGZSVBAHNOHDH-UHFFFAOYSA-N,"2-benzoyloxy-1,3-bis-(4-nitro-benzoyloxy)-propane; 2-Benzoyloxy-1,3-bis-(4-nitro-benzoyloxy)-propan; Glycerin-beta-benzoat-alpha.alpha'-bis-(4-nitro-benzoat); 1.2-Bis-<4-nitro-benzoyloxy>-2-benzoyloxy-propan; 2-Benzoyloxy-1.3-bis-<4-nitro-benzoyloxy>-propan",O=C(OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=CC=C1)C1=CC=C(C=C1)N(=O)=O,100 g solvent dissolves. 3.7 g Substance.,-1.231019379,C,21,338.626,494.414,152,-1787.059976,-1787.084561,-0.02458512,-1786.735944,-1786.76137,-0.025426,4.0041,5.1324,-0.28171,0.13373,-0.12428,0.25374,783.1217651,-5.1247,-0.74055,-0.63644,0.82682,-4.12203,54,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
NNILZRGLHCDVMC-AQTBWJFISA-N,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate; azoxystrobin,CO\C=C(\C(C)=O)C1=C(OC2=CC(OC3=C(C=CC=C3)C#N)=NC=N2)C=CC=C1,86,-0.65365556,D,20,339.442,387.395,116,-1313.728252,-1313.749786,-0.02153366,-1313.441641,-1313.463361,-0.02172,4.8504,7.998,-0.23586,0.19183,-0.06618,0.20789,673.0380249,-2.19802,-0.66504,-0.77288,0.57087,-3.68049,46,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
NOCJXYPHIIZEHN-UHFFFAOYSA-N,"difloxacin; Difloxacin; 1-(4-fluorophenyl)-6-fluoro-7-(4-methyl-1-piperazinyl)-1,4-dihydro-4-oxoquinoline-3-carboxylic acid; 6-fluoro-1-(4-fluorophenyl)-7-(4-methylpiperazin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid; 1-(4-fluorophenyl)-4-oxo-6-fluoro-7-(4-methylpiperazino)-1,4-dihydroquinoline-3-carboxylic acid; Vetequinon; Dicural",CN1CCN(CC1)C1=CC2=C(C=C1F)C(=O)C(=CN2C1=CC=C(F)C=C1)C(O)=O,Solubility: 0.67 molpercent,-1.043231673,C,24.99,284.832,399.397,262.5,-1401.337122,-1401.360472,-0.02334946,-1401.019631,-1401.043361,-0.02373,7.5276,10.9182,-0.22235,0.19191,-0.0661,0.19438,635.3036499,-2.04261,-0.84216,-0.70315,0.80768,-4.19052,48,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
NPCHNZVQOCCEIW-LDWIPMOCSA-N,"(1R,3S)-camphoramic acid; (1R,3S)-3-aminocarbonyl-1,2,2-trimethylcyclopentane-1-carboxylic acid; (1R)-cis-camphoric acid-3-amide; (1R)-cis-Camphersaeure-3-amid; 3-Carbamoyl-1,2,2-trimethyl-cyclopentancarbonsaeure",CC1(C)[C@H](CC[C@@]1(C)C(O)=O)C(N)=O,100 g solvent dissolves. 2 g Substance.,-1.103498678,C,18,140.668,199.25,176.5,-671.7850285,-671.800956,-0.015927486,-671.56002,-671.575945,-0.015925,4.9191,6.9599,-0.26196,0.24029,-0.01772,0.23399,380.0706482,-2.06384,-2.00661,-0.85251,0.8517,-2.91635,31,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
OCJBOOLMMGQPQU-UHFFFAOYSA-N,"para-dichlorobenzene; 1,4-Dichlorobenzene",ClC1=CC=C(Cl)C=C1,570,0.588545704,E,20,89.918,147.004,53,-1151.449526,-1151.452816,-0.00329031,-1151.400105,-1151.403505,-0.0034,0.0002,0,-0.2554,0.21637,-0.04164,0.22743,291.9953308,0,-1.07482,-0.23766,0.27205,-0.0134,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
OFEFIAFAVVRMOS-UHFFFAOYSA-N,"3,3-bis-(3-nitro-anilino)-phthalide; 3,3-Bis-(3-nitro-anilino)-phthalid",O=C1OC(NC2=CC(=CC=C2)N(=O)=O)(NC2=CC(=CC=C2)N(=O)=O)C2=CC=CC=C12,122.899,-0.51935619,D,20,263.635,406.354,265,-1440.785559,-1440.810729,-0.02517053,-1440.521726,-1440.547867,-0.026141,4.3801,5.531,-0.24934,0.14468,-0.11333,0.22137,633.8422852,-2.80092,-1.01396,-0.67732,0.81886,-3.13108,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
OGJPXUAPXNRGGI-UHFFFAOYSA-N,"1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinoline carboxylic acid",CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,5.1,-1.796677705,C,25,257.419,319.336,220.5,-1110.356328,-1110.381342,-0.02501323,-1110.074715,-1110.09923,-0.024515,7.2577,11.082,-0.22076,0.19302,-0.06499,0.19279,537.2033691,-2.05401,-0.93056,-0.7293,0.80651,-4.00851,41,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
OHFMYIFFLOZSMF-UHFFFAOYSA-N,"1,2-bis(2-oxo-5,5-dimethyl-1,3,2-dioxyphosphacyclohexyl-2-imino)ethane; 1,4-bis(5,5-dimethyl-1,3-dioxahexaprolide)ethane; BODIE",CC1(C)COP(=O)(NCCNP2(=O)OCC(C)(C)CO2)OC1,Solubility: 1.99 weight percent,-1.358088214,C,24.99,246.722,356.296,282.46,-1716.680316,-1716.707125,-0.02680877,-1716.33251,-1716.359573,-0.027063,0.0035,0.0004,-0.25988,0.24715,-0.01086,0.23191,581.6575928,-5.74668,-4.07562,-1.13947,2.55757,-2.78288,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
OKJPEAGHQZHRQV-UHFFFAOYSA-N,iodoform; triiodomethane,IC(I)I,120,-0.516019467,D,25,97.926,393.732,121.75,-72.83477203,-72.83851285,-0.00374082,-72.852918,-72.856698,-0.00378,0.687,0.9284,-0.26274,0.14133,-0.11668,0.23477,274.4494629,0,-0.96638,-0.96638,0.31257,0.65381,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLOASFSCLBJEOF-UHFFFAOYSA-N,"(2-methoxy-phenyl)-(5-methyl-2,4-dinitro-phenyl)-amine; (2-Methoxy-phenyl)-(5-methyl-2,4-dinitro-phenyl)-amin; 2.4-Dinitro-2'-methoxy-5-methyl-diphenylamin",COC1=C(NC2=CC(C)=C(C=C2N(=O)=O)N(=O)=O)C=CC=C1,100 g solvent dissolves. 4.69 g Substance.in reinem Loesungsmittel:braungelbe Modifikation.,-0.91579268,D,24.5,187.828,303.274,146,-1081.52513,-1081.543505,-0.01837479,-1081.311642,-1081.330457,-0.018815,8.9544,12.1296,-0.22532,0.1529,-0.10511,0.19735,509.9413757,-2.20635,-1.75255,-0.70202,0.49508,-1.78075,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ONCZDRURRATYFI-TVJDWZFNSA-N,"trifloxystrobin; (E,E)-alpha-(methoxyimino)-2-[[[[1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]benzeneacetic acid methyl ester; methyl (alphaE)-alpha-(methoxyimino)-2-[[[[(1E)-1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]-benzeneacetate; methyl (E)-methoxyimino-{(E)-alpha-[1-(alpha,alpha,alpha-trifluoro-m-tolyl)ethylideneaminooxy]-o-tolyl}ethyl acetate; methyl (alphaE)-alpha-(methoxyimino)-2-[[[(E)-[1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]benzeneaceate; methyl (E)-methoxyimino-{(E)-alpha-[1-(alpha,alpha,alpha-trifluoro-m-tolyl)ethylideneaminooxy]-o-tolyl}acetate; (E)-methoxyimino-{[((((E)-2-1-(3-trifluoromethylphenyl)ethylidene)amino)oxy)methyl]phenyl}acetic acid methyl ester",CO\N=C(\C(=O)OC)C1=C(CO\N=C(/C)C2=CC(=CC=C2)C(F)(F)F)C=CC=C1,500,0.08790873,E,25,244.284,408.377,72.9,-1483.450298,-1483.466495,-0.01619698,-1483.152425,-1483.167473,-0.015048,4.0799,6.4931,-0.24018,0.18653,-0.07148,0.21221,685.6177368,-2.00954,-1.39894,-0.74903,1.09626,-3.35228,48,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
ORILYTVJVMAKLC-UHFFFAOYSA-N,adamantane; ADAMANTAN,C1C2CC3CC1CC(C2)C3,Solubility: 30.6 weight-percent,0.246296012,E,20,120.469,136.237,267.75,-390.732904,-390.733326,-0.000421937,-390.520151,-390.520757,-0.000606,0.0002,0.0007,-0.2788,0.25501,-0.003,0.25083,317.9670105,0,-3.86151,-0.45697,0.24819,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
OROGSEYTTFOCAN-DNJOTXNNSA-N,codeine; CODEIN,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,100 g solvent dissolves. 16.3 g Substance.,-0.369151016,D,20,178.928,299.37,155,-978.9472976,-978.9636698,-0.016372214,-978.62825,-978.644388,-0.016138,2.7871,4.1996,-0.19889,0.24652,-0.01149,0.17092,500.4998474,-1.87389,-2.93641,-0.78549,0.51383,-2.43349,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
OSZUGFVVDWLSBH-UHFFFAOYSA-N,"N,N'-bis-(4-dimethylamino-phenyl)-N-heptanoyl-urea; N,N'-Bis-(4-dimethylamino-phenyl)-N-heptanoyl-harnstoff",CCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 1.19 g Substance.,-1.642960017,C,20,328.605,410.56,134,-1304.549107,-1304.571681,-0.02257418,-1304.067544,-1304.090244,-0.0227,8.9198,12.7557,-0.1842,0.22784,-0.03017,0.15623,793.1757202,-1.30613,-5.00139,-0.68804,0.84168,-3.45035,64,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
OXNIZHLAWKMVMX-UHFFFAOYSA-N,"2,4,6-trinitrotoluene; 2,4,6-Trinitrophenol; picric acid",OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,655.399,0.456469311,E,20,137.331,229.106,122,-920.9947582,-921.0114408,-0.01668256,-920.924068,-920.941113,-0.017045,1.6847,2.2814,-0.31587,0.09922,-0.15879,0.2879,364.3242188,-2.93496,0.23968,-0.6403,0.54539,-1.41561,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
PCCSBWNGDMYFCW-UHFFFAOYSA-N,"famoxadone; 5-methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione; 3'-phenylamino-5-methyl-5-(4-phenoxyphenyl)-1,3-oxazoline-2,4-dione; 3-anilino-5-methyl-5-(4-phenoxyphenyl)-3-1,3-oxazolidine-2,4-dione; 3-phenylamino-5-methyl-5-(4-phenoxyphenyl)-1,3-oxazoline-2,4-dione; 5-methyl-5-(4-phenoxyphenyl)-3-phenylamino-1,3-oxazoline-2,4-dione; 3-anilino-5-methyl-5-(4-phenoxyphenyl)-1,3-oxazolidine-2,4-dione",CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,274,-0.135580637,D,25,256.482,374.396,141.4,-1259.618802,-1259.636808,-0.018006,-1259.315968,-1259.335584,-0.019616,2.5299,3.1556,-0.23193,0.21354,-0.04447,0.20396,644.4354248,-2.2741,-1.74366,-0.68831,0.96161,-3.09393,46,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
PCOBBVZJEWWZFR-UHFFFAOYSA-N,Retigabine; N-[2-amino-4-(4-fluorobenzylamino)-phenyl]carbamic acid ethyl ester; N-(2-amino-4-(4-fluorobenzylamino)phenyl)carbamic acid ethyl ester; N-[2-amino-4-(4-fluorobenzylamino)phenyl]carbamic acid ethyl ester; ethyl N-[2-amino-4-[[(4-fluorophenyl)methyl]amino]phenyl]carbamate; ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate; 2-amino-4-(4-fluorobenzylamino)-1-ethoxycarbonylaminobenzene,CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1,250,-0.083983947,D,NA,182.95,303.336,137,-1035.153012,-1035.170411,-0.01739884,-1034.8831,-1034.900911,-0.017811,2.6568,2.4714,-0.19217,0.22502,-0.03299,0.1642,589.0054932,-1.29088,-1.34516,-0.87043,0.93679,-3.86207,40,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
PCZOHLXUXFIOCF-BXMDZJJMSA-N,"lovastatin; 2-methyl-1,2,3,7,8,8a-hexahydro-3,7-dimethyl-8-[2-(tetrahydro-4-hydroxy-6-oxo-2H-pyran-2-yl)ethyl]-1-naphthalenyl ester butanoic acid; Lovastatin; [1S-[1alpha(R*),3alpha,7beta,8beta(2S*,4S*),8alphabeta]]-1,2,3,7,8,8a-hexahydro-3,7-dimethyl-8-[2-(tetrahydro-4-hydroxy-6-oxo-2H-pyran-2-yl)ethyl]-1-naphthalenyl 2-methylbutanoate; (1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxotetrahydro-2H-pyran-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl-(2S)-2-methyl butanoate; (1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxotetrahydro-2H-pyran-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate; (1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)- 4-hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate",[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,Solubility: 1.233 mol-percent,-0.778343399,D,25.6,334.975,404.547,173.47,-1312.405483,-1312.425347,-0.01986377,-1311.898168,-1311.92005,-0.021882,6.3253,8.5407,-0.22118,0.23112,-0.02689,0.19321,696.4799194,-3.23587,-6.00675,-0.80417,0.85007,-3.23587,65,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
PFURGBBHAOXLIO-PHDIDXHHSA-N,"trans-1,2-cyclohexandiol; trans-1,2-cyclohexanediol",O[C@@H]1CCCC[C@H]1O,66,-0.245512668,D,20,93.679,116.16,103.5,-386.3169516,-386.3290684,-0.01211679,-386.170677,-386.181852,-0.011175,2.3589,3.599,-0.26662,0.25918,0.00117,0.23865,295.4612732,-1.59584,-1.81386,-0.79792,0.50767,-1.59584,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
PFVCRIULCASTAH-ZMGSENCKSA-N,"(1R)-3-((Z)-alpha-hydroxy-benzylidene)-1,7,7-trimethyl-norbornan-2-one; (1R)-3-((Z)-alpha-Hydroxy-benzyliden)-1,7,7-trimethyl-norbornan-2-on",CC1(C)[C@@H]2CC[C@@]1(C)C(=O)\C2=C(/O)C1=CC=CC=C1,100 g solvent dissolves. 19.0 g Substance.,-0.235201593,D,17,235.446,256.345,90,-810.3083254,-810.3225393,-0.014213884,-810.020417,-810.034594,-0.014177,5.2445,7.3113,-0.22747,0.19605,-0.06196,0.1995,475.0104065,-1.31292,-3.95784,-0.69149,0.58408,-1.31292,39,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1
PJHUABJTDFXYRQ-UHFFFAOYSA-N,benzoyl azide; azidobenzoic acid; benzoic acid azide; benzoylazide; Benzoylazid; Benzoesaeureazid; Benzoylazimid,O=C(N=N#N)C1=CC=CC=C1,100 g solvent dissolves. 135 g Substance.,0.85748448,E,20,114.583,147.136,28,-509.2016072,-509.2076884,-0.006081209,-509.122592,-509.12895,-0.006358,3.3518,4.2804,-0.27655,0.17039,-0.08762,0.24858,324.7186279,-0.61408,-0.58402,-0.61408,0.66312,-0.72449,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
POOSGDOYLQNASK-UHFFFAOYSA-N,tetracosane; n-Tetracosane; Tetracosane; tetracosan; n-tetracosane; tetraeicosane; Tetracosan,CCCCCCCCCCCCCCCCCCCCCCCC,0.88,-2.585282514,B,19.85,358.29,338.661,50.69,-944.7572861,-944.7581691,-0.000882998,-944.1229,-944.125707,-0.002807,0,0,-0.2852,0.27162,0.01361,0.25723,885.6982422,0,-11.50996,-0.688,0.23772,0,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POULHZVOKOAJMA-UHFFFAOYSA-N,lauric acid; laurate; Lauric Acid,CCCCCCCCCCCC(O)=O,Solubility: 22.42 molpercent,0.481329133,E,24.84,179.743,200.321,43.6,-622.2436315,-622.2511369,-0.007505418,-621.94493,-621.953134,-0.008204,1.5475,2.1139,-0.28923,0.25189,-0.00612,0.26126,517.9154053,-1.3797,-4.58963,-0.72909,0.83166,-1.3797,38,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PPJVBBJMDLANLB-UHFFFAOYSA-N,"1,4,5-trinitronaphthalene; 1,4,5-trinitro-naphthalene; 1,4,5-Trinitro-naphthalin; 1,4,5-Trinitronaphthalin",O=N(=O)C1=CC=C(C2=C1C=CC=C2N(=O)=O)N(=O)=O,100 g solvent dissolves. 10.901 g Substance.,-0.487933625,D,15,132.706,263.166,148.5,-999.3994233,-999.417091,-0.017667733,-999.287681,-999.305621,-0.01794,3.9839,5.7794,-0.29005,0.11093,-0.14708,0.26208,406.0344238,-2.303,-0.69608,-0.40366,0.52403,-0.73465,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
PROQIPRRNZUXQM-ZXXIGWHRSA-N,Estriol; estriol,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,100 g solvent dissolves. 0.414 g Substance.,-1.948105681,C,30,239.67,288.387,281.25,-926.0647048,-926.0790737,-0.014368938,-925.717608,-925.732726,-0.015118,0.7841,1.0471,-0.21986,0.24229,-0.01572,0.19189,502.0679321,-2.32978,-4.33421,-0.80325,0.52149,-2.32978,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
PRPINYUDVPFIRX-UHFFFAOYSA-N,naphth-1-yl acetic acid; 1-Naphthylacetic acid; 1-naphthylacetic acid,OC(=O)CC1=CC=CC2=CC=CC=C12,Solubility: 24.3 molpercent,0.516299798,E,25.79,143.256,186.21,131.75,-613.7971148,-613.8082496,-0.01113472,-613.645265,-613.656092,-0.010827,1.3601,2.0238,-0.22486,0.2047,-0.05331,0.19689,381.9020996,-1.36461,-1.49898,-0.72518,0.82944,-1.36461,24,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
PRWFRMQHEAGAIW-UHFFFAOYSA-N,"N,N'-bis-(4-dimethylamino-phenyl)-N-valeryl-urea; N,N'-Bis-(4-dimethylamino-phenyl)-N-valeryl-harnstoff",CCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 1.07 g Substance.,-1.658384817,C,20,298.64,382.506,150.5,-1225.92714,-1225.944511,-0.01737118,-1225.497401,-1225.514893,-0.017492,6.4077,9.0924,-0.18617,0.23721,-0.0208,0.1582,730.7042847,-1.32282,-4.06847,-0.68766,0.83598,-3.46028,58,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
PSPMLTCJDRSKFJ-UHFFFAOYSA-N,methyl 2-diazo-3-(methylamino)-3-oxopropanoate; 2-diazo-N-methyl-malonamic acid methyl ester; 2-Diazo-N-methyl-malonamidsaeure-methylester,CNC(=O)C(=N#N)C(=O)OC,100 g solvent dissolves. 45.7 g Substance.,0.35852951,E,18,99.502,157.129,76,-584.6552929,-584.672664,-0.017371105,-584.562897,-584.579158,-0.016261,4.3288,6.6982,-0.26453,0.15999,-0.09802,0.23656,344.8730774,-1.84824,0.45283,-0.66337,0.79362,-2.33926,18,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
